COD_ID;LGRD;BRR;CLAS_SUB;CNAE;ARE_LOC;POINT_X;POINT_Y
3001320958;RUA MAESTRO SEBASTIAO MELO 499;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12623781;-20.90542516
3001320966;RUA MAESTRO SEBASTIAO MELO 413;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12674718;-20.90510853
3001320999;RUA JOSE BERNARDINO 303;CENTRO;RE1;99.99-2/9;UB;-45.12796616;-20.90246015
3001321099;RUA SAO JOSE 12 NR 01;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12562941;-20.90230828
3001321122;RUA RUI BARBOSA 70;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12669684;-20.90240688
3001321129;RUA RUI BARBOSA 29;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12686011;-20.90218087
3002402436;RUA JOAO LUIZ 514;CENTRO;RE1;99.99-2/9;UB;-45.1269414;-20.90736732
3002402457;RUA JOAO LUIZ 329;CENTRO;RE2;99.99-2/9;UB;-45.12779598;-20.90589386
3002402464;RUA JOAO LUIZ 213;CENTRO;RE1;99.99-2/9;UB;-45.12901649;-20.90505262
3003507572;RUA JOAO LUIZ 252;CENTRO;RE1;99.99-2/9;UB;-45.12871855;-20.90523356
3005730074;RUA MARIANO MARTINS VIANA 483;SEVILHA;RE1;99.99-2/9;UB;-45.13036346;-20.90591903
3005731531;RUA GERALDINHO S REZENDE 90;SEVILHA;RE1;99.99-2/9;UB;-45.13089438;-20.90827695
3006097271;RUA MARIANO MARTINS VIANA 466;SEVILHA;RE2;99.99-2/9;UB;-45.12960666;-20.90925379
3007425731;RUA LICERIO ANTONIO SANTOS 22;JARDIM DONA MARIANA;RE2;99.99-2/9;UB;-45.12598926;-20.90718731
3007425783;RUA LUCINDA FREIRE BARBOSA 27;JARDIM DONA MARIANA;RE1;99.99-2/9;UB;-45.12662379;-20.90703323
3007539401;RUA JOAO GRANDE 291;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12914008;-20.90340802
3007753283;RUA DUCA FAGUNDES 98;SEVILHA;RE2;99.99-2/9;UB;-45.12913328;-20.90669703
3012338799;RUA MARIANO MARTINS VIANA 275;SEVILHA;IP;99.99-2/9;UB;-45.13038419;-20.90765387
3013084355;RUA PADRE CORREIA 121;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12984243;-20.90386831
3013351215;RUA DOURADO 82;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13090353;-20.90774383
3003512248;RUA EVARISTO CARDOSO 328;CENTRO;RE1;99.99-2/9;UB;-45.12495705;-20.90320331
3001321092;RUA BENTO RESENDE POUCAS 47;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12562869;-20.90144085
3001321151;RUA EVARISTO CARDOSO 235;CENTRO;RE2;99.99-2/9;UB;-45.12622539;-20.90207291
3001321158;RUA BENTO RESENDE POUCAS 14;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12612849;-20.90118748
3001321162;RUA TIRADENTES 214;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12598401;-20.90089844
3001321205;RUA JOSE FONTOURA 148;CENTRO;RE1;99.99-2/9;UB;-45.12664719;-20.90053652
3002402370;RUA JULIO CARDOSO FILHO 22;CENTRO;CO1;47.31-8/4;UB;-45.13130994;-20.89960232
3002402541;AV NAGIB GIBRAN 284;CENTRO;RE1;99.99-2/9;UB;-45.12981149;-20.90142869
3002402579;PCA JOAO ALVES DUCA 253;CENTRO;CO5;94.91-0/9;UB;-45.12804095;-20.89994816
3002402630;RUA CORONEL FRANCISCO CAMBRAIA 136;CENTRO;RE1;99.99-2/9;UB;-45.12922234;-20.89840216
3002402686;AV NAGIB GIBRAN 45;CENTRO;RE1;99.99-2/9;UB;-45.13080982;-20.89947621
3003433345;RUA AUGUSTO TEIXEIRA 32;ALTO DA COLINA;CO1;47.55-5/4;UB;-45.12805149;-20.90103244
3003520578;AV NAGIB GIBRAN 376;CENTRO;RE1;99.99-2/9;UB;-45.12935052;-20.90211575
3003926729;RUA CORONEL FRANCISCO CAMBRAIA 149;CENTRO;RE2;99.99-2/9;UB;-45.12892423;-20.89836624
3004095166;AV MAGALHAES PINTO 176;CENTRO;RE1;99.99-2/9;UB;-45.13048416;-20.90094025
3004473314;AV CAMBRAIA NASCIMENTO 55;PROFESSOR ELBERTE LUIZ;RE2;99.99-2/9;UB;-45.12398491;-20.90204744
3004996830;RUA PADRE FRANCISCO 21;CENTRO;RE1;99.99-2/9;UB;-45.12768478;-20.89947857
3005110421;PCA SATURNINO CARDOSO 54;CENTRO;RE1;99.99-2/9;UB;-45.13175986;-20.89729787
3005991780;PCA JOAO ALVES DUCA 188;CENTRO;CO9;64.21-2/6;UB;-45.12920408;-20.89954068
3007652858;RUA CORONEL FRANCISCO CAMBRAIA 375;CENTRO;RE1;99.99-2/9;UB;-45.1270976;-20.89872904
3010194676;PCA JOAO ALVES DUCA 228;CENTRO;RE1;99.99-2/9;UB;-45.12879094;-20.89992049
3004873770;AV JOAO R TEIXEIRA 98;CENTRO;RE1;99.99-2/9;UB;-45.1315625;-20.90253874
3005794616;RUA MANDI 65;JARDIM BEIRA RIO;RE2;99.99-2/9;UB;-45.13133497;-20.90626164
3013213688;RUA DOURADO 275;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13293289;-20.90816694
3001320770;RUA TREZE DE MAIO 361;CENTRO;RE1;99.99-2/9;UB;-45.13064928;-20.9028557
3001320780;RUA PADRE CORREIA 140;ALTO DA COLINA;RE2;99.99-2/9;UB;-45.12984243;-20.90386831
3001320826;RUA JOAO GRANDE 243;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12953388;-20.90288365
3001320992;RUA PADRE VELOSO 23;ALTO DA COLINA;PP3;84.11-6/8;UB;-45.12736076;-20.90293046
3002402417;RUA JOAO LUIZ 144;CENTRO;RE1;99.99-2/9;UB;-45.12968933;-20.90474489
3004003777;RUA SAO JOSE 50;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12604325;-20.90274169
3004991942;RUA VARICCO 187;ALTO DA COLINA;IP;99.99-2/9;UB;-45.12920651;-20.9023779
3005319167;RUA PADRE VELOSO 52;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12780294;-20.90275845
3005731530;RUA MARIANO MARTINS VIANA 53;SEVILHA;RE2;99.99-2/9;UB;-45.13036346;-20.90591903
3005928647;RUA JOSE BERNARDINO 554;CENTRO;CO9;56.11-2/5;UB;-45.12694841;-20.90426806
3006256729;RUA MARIANO MARTINS VIANA 163;SEVILHA;RE2;99.99-2/9;UB;-45.1301337;-20.90711192
3006473824;RUA PIABA 98;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13080628;-20.9064789
3006667902;RUA REINALDO S LEOCADIO 189;SEVILHA;RE1;99.99-2/9;UB;-45.12909439;-20.90619106
3007425734;RUA LICERIO ANTONIO SANTOS 44;JARDIM DONA MARIANA;RE1;99.99-2/9;UB;-45.12598926;-20.90718731
3007539402;RUA JOAO GRANDE 291;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12914008;-20.90340802
3010716060;RUA RUI BARBOSA 181;ALTO DA COLINA;RE1;99.99-2/9;UB;-45.12621673;-20.90322046
3011646542;RUA LAMBARI 76;JARDIM BEIRA RIO;RE1;99.99-2/9;UB;-45.13092197;-20.90683121
3012324862;RUA ADELINO BASTOS FREIRE 48;SEVILHA;RE1;99.99-2/9;UB;-45.13003923;-20.90906371
3003394148;RUA AMAURI CIRIACO 51;PROFESSOR ELBERTE LUIZ;RE1;99.99-2/9;UB;-45.12462044;-20.90313127
